sample,family,dev_stage,generation,sex,adult_sisters
110_110_fnd,110,Adult,0,female,ND
110_110a_son,110,Adult,1,male,yes
110_111_dat,110,Adult,1,female,yes
110_111a_grn,110,Nymph,2,not determined,yes
110_111b_grn,110,Egg,2,not determined,yes
110_111c_grnson,110,Adult,2,male,yes
110_111d_grndat,110,Adult,2,female,yes
110_111e_grn,110,Nymph,2,not determined,yes
110_111f_grn,110,Nymph,2,not determined,yes
133_133_fnd,133,Adult,0,female,ND
133_133a_son,133,Adult,1,male,yes
133_134_dat,133,Adult,1,female,yes
133_134a_grnson,133,Adult,2,male,no
133_134b_grn,133,Nymph,2,not determined,no
133_134c_grn,133,Egg,2,not determined,no
177_177_fnd,177,Adult,0,female,ND
177_177a_son,177,Adult,1,male,yes
177_178_dat,177,Adult,1,female,yes
177_178a_grndat,177,Adult,2,female,yes
177_178b_grnson,177,Adult,2,male,yes
177_178c_grn,177,Nymph,2,not determined,yes
177_178d_grn,177,Nymph,2,not determined,yes
187_187_fnd,187,Adult,0,female,ND
187_187a_son,187,Adult,1,male,yes
187_188_dat,187,Adult,1,female,yes
187_188a_grnson,187,Adult,2,male,no
187_188b_grn,187,Nymph,2,not determined,no
187_188c_grn,187,Nymph,2,not determined,
240_240_fnd,240,Adult,0,female,ND
240_240a_son,240,Adult,1,male,yes
240_241_dat,240,Adult,1,female,yes
240_241a_grndat,240,Adult,2,female,yes
240_241b_grndat,240,Adult,2,female,yes
240_241c_grnson,240,Adult,2,male,yes
240_241d_grn,240,Nymph,2,not determined,yes
240_241e_grn,240,Nymph,2,not determined,yes
266_266_fnd,266,Adult,0,female,ND
266_266a_son,266,Adult,1,male,yes
266_267_dat,266,Adult,1,female,yes
266_267a_grndat,266,Adult,2,female,yes
266_267b_grndat,266,Adult,2,female,yes
266_267c_grn,266,Nymph,2,not determined,yes
284_284_fnd,284,Adult,0,female,ND
284_284a_son,284,Adult,1,male,yes
284_285_dat,284,Adult,1,female,yes
284_285a_grnson,284,Adult,2,male,yes
284_285b_grndat,284,Adult,2,female,yes
284_285c_grn,284,Nymph,2,not determined,yes
284_285d_sis,284,Adult,1,female,yes
300_300_fnd,300,Adult,0,female,ND
300_300a_son,300,Adult,1,male,yes
300_301_dat,300,Adult,1,female,yes
300_301a_grnson,300,Adult,2,male,no
300_301b_grn,300,Nymph,2,not determined,no
300_301c_grn,300,Egg,2,not determined,no
302_302_fnd,302,Adult,0,female,ND
302_302a_son,302,Adult,1,male,yes
302_303_dat,302,Adult,1,female,yes
302_303a_grn,302,Nymph,2,not determined,no
302_303b_grnson,302,Adult,2,male,no
322_322_fnd,322,Adult,0,female,ND
322_322a_son,322,Adult,1,male,yes
322_323_dat,322,Adult,1,female,yes
322_323a_grndat,322,Adult,2,female,yes
322_323b_grnson,322,Adult,2,male,yes
322_323c_grn,322,Nymph,2,not determined,yes
322_323d_grn,322,Nymph,2,not determined,yes
338_338_fnd,338,Adult,0,female,ND
338_338a_son,338,Adult,1,male,yes
338_339_dat,338,Adult,1,female,yes
338_339a_grndat,338,Adult,2,female,yes
338_339b_grnson,338,Adult,2,male,yes
338_339c_grn,338,Nymph,2,not determined,yes
338_339d_grn,338,Nymph,2,not determined,yes
338_339e_grn,338,Egg,2,not determined,yes
400_400_fnd,400,Adult,0,female,ND
400_400a_son,400,Adult,1,male,yes
400_401_dat,400,Adult,1,female,yes
400_401a_grnson,400,Adult,2,male,no
412_412_fnd,412,Adult,0,female,ND
412_412a_son,412,Adult,1,male,yes
412_413_dat,412,Adult,1,female,yes
412_413a_grnson,412,Adult,2,male,no
412_413b_grn,412,Nymph,2,not determined,no
426_426_fnd,426,Adult,0,female,ND
426_426a_son,426,Adult,1,male,yes
426_427_dat,426,Adult,1,female,yes
426_427a_grndat,426,Adult,2,female,yes
426_427b_grnson,426,Adult,2,male,yes
426_427c_grn,426,Nymph,2,not determined,yes
426_427d_grn,426,Nymph,2,not determined,yes
426_427e_grn,426,Nymph,2,not determined,yes
426_427f_grn,426,Nymph,2,not determined,yes
43_43_fnd,43,Adult,0,female,ND
43_43a_son,43,Adult,1,male,yes
43_43b_sis,43,Adult,1,female,yes
43_44_dat,43,Adult,1,female,yes
43_44a_grndat,43,Adult,2,female,yes
43_44b_grnson,43,Adult,2,male,yes
43_44c_grn,43,Nymph,2,not determined,yes
43_44d_grn,43,Nymph,2,not determined,yes
458_458_fnd,458,Adult,0,female,ND
458_458a_son,458,Adult,1,male,yes
458_459_dat,458,Adult,1,female,yes
458_459a_grnson,458,Adult,2,male,no
458_459b_grn,458,Nymph,2,not determined,no
458_459c_grn,458,Egg,2,not determined,no
46_46_fnd,46,Adult,0,female,ND
46_46a_son,46,Adult,1,male,yes
46_46b_sis,46,Nymph,1,not determined,yes
46_47_dat,46,Adult,1,female,yes
46_47a_grn,46,Nymph,2,not determined,yes
46_47b_grn,46,Nymph,2,not determined,yes
46_47c_grndat,46,Adult,2,female,yes
46_47d_grnson,46,Adult,2,male,yes
46_47e_grn,46,Nymph,2,not determined,yes
46_47f_grn,46,Nymph,2,not determined,yes
46_47g_grn,46,Nymph,2,not determined,yes
476_476_fnd,476,Adult,0,female,ND
476_476a_son,476,Adult,1,male,yes
476_477_dat,476,Adult,1,female,yes
476_477a_grndat,476,Adult,2,female,yes
476_477b_grnson,476,Adult,2,male,yes
476_477c_grndat,476,Adult,2,female,yes
476_477d_grndat,476,Adult,2,female,yes
476_477e_grn,476,Egg,2,not determined,yes
478_478_fnd,478,Adult,0,female,ND
478_478a_son,478,Adult,1,male,yes
478_479-1_dat,478,Adult,1,female,yes
478_479-1a_grnson,478,Adult,2,male,yes
478_479-1b_grndat,478,Adult,2,female,yes
478_479-1c_grn,478,Nymph,2,not determined,yes
478_479-1d_grn,478,Nymph,2,not determined,yes
478_479-1e_grn,478,Egg,2,not determined,yes
478_479-2_dat,478,Adult,1,female,yes
478_479-2a_grndat,478,Adult,2,female,yes
478_479-2b_grnson,478,Adult,2,male,yes
478_479-2c_grn,478,Nymph,2,not determined,yes
478_479-2d_grndat,478,Adult,2,female,yes
48_48_fnd,48,Adult,0,female,ND
48_48a_son,48,Adult,1,male,yes
48_48b_sis,48,Nymph,1,not determined,yes
48_49_dat,48,Adult,1,female,yes
48_49a_grn,48,Nymph,2,not determined,no
48_49b_grn,48,Nymph,2,not determined,no
48_49c_grn,48,Egg,2,not determined,no
48_49d_grn,48,Egg,2,not determined,no
48_49e_grn,48,Nymph,2,not determined,no
48_49f_grn,48,Nymph,2,not determined,no
48_49g_grn,48,Egg,2,not determined,no
498_498_fnd,498,Adult,0,female,ND
498_498a_son,498,Adult,1,male,yes
498_499_dat,498,Adult,1,female,yes
498_499a_grnson,498,Adult,2,male,yes
498_499b_grndat,498,Adult,2,female,yes
498_499c_grndat,498,Adult,2,female,yes
498_499d_grn,498,Nymph,2,not determined,yes
498_499e_grn,498,Egg,2,not determined,yes
502_502_fnd,502,Adult,0,female,ND
502_502a_son,502,Adult,1,male,yes
502_503_dat,502,Adult,1,female,yes
502_503a_grndat,502,Adult,2,female,yes
502_503b_grnson,502,Adult,2,male,yes
502_503c_grn,502,Nymph,2,not determined,yes
502_503d_grn,502,Nymph,2,not determined,yes
502_503e_grn,502,Egg,2,not determined,yes
502_503f_grndat,502,Adult,2,female,yes
520_520_fnd,520,Adult,0,female,ND
520_520a_son,520,Adult,1,male,yes
520_521_dat,520,Adult,1,female,yes
520_521a_grn,520,Nymph,2,not determined,no
520_521b_grn,520,Egg,2,not determined,no
520_521c_grn,520,Egg,2,not determined,no
520_521d_grn,520,Egg,2,not determined,no
520_521e_grn,520,Egg,2,not determined,no
534_534_fnd,534,Adult,0,female,ND
534_534a_son,534,Adult,1,male,yes
534_535_1_sis,534,Adult,1,female,yes
534_535_2_dat,534,Adult,1,female,yes
534_535_2a_grndat,534,Adult,2,female,yes
534_535_2b_grn,534,Nymph,2,not determined,yes
534_535_2c_grnson,534,Adult,2,male,yes
534_535_2d_grn,534,Nymph,2,not determined,yes
534_535_3_dat,534,Adult,1,female,yes
534_535_3a_grn,534,Egg,2,not determined,no
548_548_fnd,548,Adult,0,female,ND
548_548a_son,548,Adult,1,male,yes
548_549_dat,548,Adult,1,female,yes
548_549a_grn,548,Egg,2,not determined,no
548_549b_grn,548,Egg,2,not determined,no
564_564_fnd,564,Adult,0,female,ND
564_564a_son,564,Adult,1,male,yes
564_565-1_dat,564,Adult,1,female,yes
564_565-1a_grn,564,Nymph,2,not determined,no
564_565-1b_grnson,564,Adult,2,male,no
564_565-1c_grn,564,Nymph,2,not determined,no
564_565-2_dat,564,Adult,1,female,yes
564_565-2a_grndat,564,Adult,2,female,yes
564_565-2b_grn,564,Egg,2,not determined,yes
57_57_fnd,57,Adult,0,female,ND
57_57a_son,57,Adult,1,male,yes
57_58_dat,57,Adult,1,female,yes
57_58a_grndat,57,Adult,2,female,yes
57_58b_grnson,57,Adult,2,male,yes
57_58c_grn,57,Nymph,2,not determined,yes
57_58d_grn,57,Nymph,2,not determined,yes
596_596_fnd,596,Adult,0,female,ND
596_596a_son,596,Adult,1,male,yes
596_597_dat,596,Adult,1,female,yes
596_597a_grnson,596,Adult,2,male,no
596_597b_grn,596,Nymph,2,not determined,no
600_600_fnd,600,Adult,0,female,ND
600_600a_son,600,Adult,1,male,yes
600_601_dat,600,Adult,1,female,yes
600_601a_grnson,600,Adult,2,male,no
600_601b_grn,600,Egg,2,not determined,no
63_63_fnd,63,Adult,0,female,ND
63_63a_son,63,Adult,1,male,yes
63_64_dat,63,Adult,1,female,yes
63_64a_grn,63,Nymph,2,not determined,no
63_64b_grn,63,Nymph,2,not determined,no
63_64c_grn,63,Egg,2,not determined,no
63_64d_grn,63,Egg,2,not determined,no